metric,value
rows,508499
cols,16
missing_total,587746
duplicates,78
missing_SEX,0
missing_INSR_BEGIN,0
missing_INSR_END,0
missing_EFFECTIVE_YR,3
missing_INSR_TYPE,0
missing_INSURED_VALUE,0
missing_PREMIUM,13
missing_OBJECT_ID,0
missing_PROD_YEAR,63
missing_SEATS_NUM,95
missing_CARRYING_CAPACITY,116834
missing_TYPE_VEHICLE,0
missing_CCM_TON,6
missing_MAKE,5
missing_USAGE,0
missing_CLAIM_PAID,470727
